Field,Range,Description
Actinomyces massiliensis F0489 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces naeslundii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces odontolyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces oris strain T14V ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces pacaensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces slackii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. Chiba101 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. HMSC035G02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. HMSC08A09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. HMT 175 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. HMT897 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. HPA0247 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. ICM39 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. ICM47 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. ICM54 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. ICM58 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. Marseille-P2825 sp. Marseille-P2825 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. Marseille-P2985 strain Marseille-P2985T ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. S6-Spd3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 169 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 170 str. F0386 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 171 str. F0337 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 172 str. F0311 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 175 str. F0384 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 178 str. F0338 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 180 str. F0310 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 181 str. F0379 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 414 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 448 str. F0400 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 848 str. F0332 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 849 str. F0330 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 877 str. F0543 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. oral taxon 897 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces sp. ph3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces turicensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Actinomyces viscosus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Adlercreutzia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Adlercreutzia equolifaciens DSM 19450 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Adlercreutzia sp. 8CFCBH1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aerococcus christensenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aerococcus sp. HMSC072A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aeromonas caviae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aeromonas sp. WP2-W18-CRE-05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Afipia birgiae 34632 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter aphrophilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter aphrophilus ATCC 33389 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter segnis ATCC 33393 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter sp. 2125159857 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aggregatibacter sp. oral taxon 458 str. W10330 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Agrobacterium fabacearum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Akkermansia muciniphila ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Akkermansia muciniphila ATCC BAA-835 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Akkermansia muciniphila strain YL44 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Akkermansia sp. KLE1797 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Akkermansia sp. KLE1798 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alicycliphilus denitrificans K601 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes communis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes dispar ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes finegoldii DSM 17242 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes ihumii AP11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes indistinctus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes indistinctus YIT 12060 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes inops strain 627 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes megaguti ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes obesi ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes onderdonkii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes onderdonkii WAL 8169 = DSM 19147 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes putredinis DSM 17216 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes senegalensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes senegalensis JC50 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes shahii WAL 8301 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes sp. AL-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes sp. HGB5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes sp. Marseille-P2431 sp. Marseille-P2431 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes sp. dk3624 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alistipes timonensis JC136 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alloprevotella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alloprevotella sp. E39 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alloprevotella tannerae ATCC 51259 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alphaendornavirus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Alternaria alternata strain SRC1lrK2f ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Amedibacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Amedibacterium intestinale ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aminipila sp. JN-18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerobutyricum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerobutyricum hallii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus lactolyticus ATCC 51172 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus mediterraneensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus obesiensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus obesiensis ph10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus prevotii DSM 20548 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus sp. HMSC065G05 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus sp. HMSC068A02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus sp. HMSC075B03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
"Anaerococcus sp. Marseille-P2143 strain Marseille-P2143, sp. FC4 ","Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus tetradius ATCC 35098 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus tetradius strain MJR8151 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus vaginalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus vaginalis ATCC 51170 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerococcus vaginalis strain PH9 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerofustis stercorihominis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaeroglobus geminatus F0357 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerosphaera sp. HMSC064C01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerosporobacter mobilis DSM 15930 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes caccae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes hadrus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes hadrus strain BPB5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes rhamnosivorans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes sp. 3_2_56FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes sp. 494a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerostipes sp. 992a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerotruncus colihominis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerotruncus rubiinfantis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anaerotruncus sp. G3(2012) ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Angelakisella massiliensis strain Marseille-P3217 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Angomonas deanei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anoxybacillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Anoxybacillus flavithermus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Apple luteovirus 1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aquabacterium parvum strain B6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aquabacterium sp. NJ1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Arachnia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Arachnia propionica ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Arachnia propionica F0230a ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aspergillus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aspergillus chevalieri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aspergillus flavus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aspergillus niger ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atlantibacter hermannii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium parvulum DSM 20469 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium rimae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium rimae ATCC 49626 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium rimae strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium sp. BS2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Atopobium sp. ICM42b ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Aureobasidium melanogenum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Avibacterium paragallinarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacillus siamensis strain SRCM100169 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacillus subtilis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroidales bacterium KA00344 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides acidifaciens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides acidifaciens JCM 10556 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides barnesiae DSM 18169 = JCM 13652 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides caccae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides caecimuris ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides caecimuris strain I48 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides cellulosilyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides cellulosilyticus strain WH2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides clarus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides coprocola ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides coprophilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides coprosuis DSM 18011 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides dorei CL03T12C01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides eggerthii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides eggerthii 1_2_48FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides eggerthii DSM 20697 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides faecichinchillae strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides faecis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides finegoldii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fluxus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis 638R ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis NCTC 9343 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis YCH46 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis str. 3-F-2 #6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis strain BOB25 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides fragilis strain S14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides gallinarum DSM 18171 = JCM 13658 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides graminisolvens DSM 19988 = JCM 15093 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides helcogenes P 36-108 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides heparinolyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides intestinalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides massiliensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides massiliensis dnLKV3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides mediterraneensis strain Marseille-P2644 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides neonati strain MS4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides nordii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides oleiciplenus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides ovatus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides ovatus V975 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides ovatus strain ATCC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides paurosaccharolyticus JCM 15092 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides phage crAss001 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides plebeius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides pyogenes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides salanitronis DSM 18170 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides salyersiae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 14(A) ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 1_1_30 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 1_1_6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 2_1_16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 2_1_22 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 2_1_33B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 2_1_56FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 2_2_4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 3_1_13 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 3_1_19 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 3_1_23 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 3_1_33FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 3_1_40A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 4_1_36 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 4_3_47FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. 9_1_42FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. A1C1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. CACC 737 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. CBA7301 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. D2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Bacteroides sp. D20 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
